modele;annee;prix;km
Volkswagen Tiguan;2010;55000;171467
Volkswagen Tiguan;2025;137000;25300
Volkswagen Tiguan;2022;115000;120000
Volkswagen Tiguan;2022;112000;78000
Volkswagen Tiguan;2021;105000;97000
Volkswagen Tiguan;2022;92400;48000
Volkswagen Tiguan;2022;125000;187000
Volkswagen Tiguan;2010;35500;225000
Volkswagen Tiguan;2015;74000;45000
Volkswagen Tiguan;2023;120800;90000
Volkswagen Tiguan;2023;117000;80000
Volkswagen Tiguan;2022;119000;80000
Volkswagen Tiguan;2012;60000;200000
Volkswagen Tiguan;2008;32000;180000
Volkswagen Tiguan;2016;75000;155000
Suzuki Swift;2023;38700;82000
Suzuki Swift;2021;38000;128000
Suzuki Swift;2022;41500;103000
Suzuki Swift;2022;45000;59000
Suzuki Swift;2023;50000;29000
Suzuki Swift;2021;48000;40000
Suzuki Swift;2022;44000;68893
Suzuki Swift;2017;32500;250000
Suzuki Swift;2017;24500;360000
Suzuki Swift;2021;37500;108000
Suzuki Swift;2023;57000;40000
Suzuki Swift;2022;49000;28000
Suzuki Swift;2023;45000;47000
Suzuki Swift;2017;31500;118000
Suzuki Swift;2019;39000;140000
Suzuki Swift;2020;26900;140000
Suzuki Swift;2018;34500;92000
Suzuki Swift;2021;37500;160000
Suzuki Swift;2017;33000;94000
Suzuki Swift;2022;38500;115000
Suzuki Swift;2022;39900;74000
Suzuki Swift;2025;52000;21000
Suzuki Swift;2023;33000;220000
Suzuki Swift;2021;34500;119000
Audi A3 Sportback;2019;63500;200000
Audi A3 Sportback;2003;23000;317000
Audi A3 Sportback;2019;68000;178000
Audi A3 Sportback;2015;54000;130000
Audi A3 Sportback;2019;67000;76500
Audi A3 Sportback;2023;120000;49000
Audi A3 Sportback;2013;46000;260000
Audi A3 Sportback;2017;57000;240000
Audi A3 Sportback;2019;67000;133000
Audi A3 Sportback;2020;88000;93000
Audi A3 Sportback;2009;32000;220000
Audi A3 Sportback;2020;78000;159000
Audi A3 Sportback;2020;78000;158000
Audi A3 Sportback;2008;33000;120000
Audi A3 Sportback;2023;112000;22000
Audi A3 Sportback;2023;123000;44000
Audi A3 Sportback;2014;40500;280000
Audi A3 Sportback;2015;48000;160000
Audi A3 Sportback;2007;27600;232000
Audi A3 Sportback;2016;65000;124000
Audi A3 Sportback;2015;54900;141000
Audi A3 Sportback;2010;37000;375000
Audi Q5;2022;145000;88000
Audi Q5;2010;47500;200000
Audi Q5;2013;55000;250000
Audi Q5;2011;42000;170000
Audi Q5;2022;169000;125000
Audi Q5;2017;111000;18000
Audi Q5;2015;97000;135000
BMW Série 5;2008;58000;160000
BMW Série 3;2010;45000;190000
BMW Série 5;2006;37000;433000
BMW X3;2019;158000;22000
BMW Série 3;2022;121000;96000
BMW Série 5;2008;44800;225000
BMW Série 5;2013;87000;170000
BMW Série 5;2015;72000;221000
BMW Série 3;2013;55000;165000
BMW Série 3;2014;56000;200000
BMW Série 3;2013;49000;290000
BMW Série 7;2011;88000;167000
BMW Série 3;2017;68000;100000
BMW X3;2019;160000;22000
BMW Série 3;2015;49500;210000
BMW Série 1;2013;45000;83000
BMW X1;2012;54000;132000
BMW Série 1;2009;31000;
BMW Série 3;2009;41500;186000
BMW X3;2021;149000;94000
BMW Série 1;2016;62000;129000
BMW Série 1;2012;38000;200000
BMW X1;2016;67000;143000
BMW Série 3;2006;33500;330000
BMW Série 3;2011;38000;249000
BMW X1;2022;80000;182000
BMW Série 1;2020;85000;125000
BMW X1;2016;75000;86700
BMW Série 1;2008;30500;210000
Mercedes-Benz Classe E;2012;62500;183000
Mercedes-Benz Classe A;2013;66000;160000
Mercedes-Benz Classe E;2011;70000;98000
Mercedes-Benz Classe C;2012;50000;218000
Mercedes-Benz GLA;2022;135000;55000
Mercedes-Benz CLA;2022;110000;109000
Mercedes-Benz Classe C;2008;46900;288000
Mercedes-Benz GLA;2020;78500;
Mercedes-Benz GLC;2017;89999;200000
Mercedes-Benz Classe C coupé;2013;49000;395000
Mercedes-Benz GLC;2020;197000;94000
Mercedes-Benz GLA;2015;78500;184000
Mercedes-Benz Classe C;2023;155000;90000
Mercedes-Benz Classe C coupé;2015;88000;200000
Mercedes-Benz Classe C;2013;52000;285000
Mercedes-Benz Classe E;2009;57000;332000
Mercedes-Benz Classe A;2022;105000;118000
Mercedes-Benz GLE;2016;145000;140000
Mercedes-Benz Classe C;2017;81999;149000
Mercedes-Benz Classe A;2010;23500;235000
Volvo S60;2009;39000;90000
Volvo XC60;2013;48000;309000
Volvo XC60;2010;44500;218000
Volvo XC60;2010;47000;210000
Volvo XC90;2004;50000;240000
Volvo XC60;2012;58500;200000
